Year,rank,artist,url
2013,1,Macklemore & Ryan Lewis,https://i.scdn.co/image/ab6761610000f1783c2f1ba4c1a3de141e63d775
2013,2,Avicii,https://i.scdn.co/image/ab6761610000f17809bf4814c6585e1f69dfeef7
2013,3,Daft Punk,https://i.scdn.co/image/ab6761610000f17896d66c60658005885d1135ce
2013,4,Eminem,https://i.scdn.co/image/ab6761610000f178a00b11c129b27a88fc72f36b
2013,5,Imagine Dragons,https://i.scdn.co/image/ab6761610000f178920dc1f617550de8388f368e
2014,1,Ed Sheeran,https://i.scdn.co/image/ab6761610000f17812a2ef08d00dd7451a6dbed6
2014,2,Eminem,https://i.scdn.co/image/ab6761610000f178a00b11c129b27a88fc72f36b
2014,3,Coldplay,https://i.scdn.co/image/ab6761610000f178865a3301762a8fce048cb469
2014,4,Calvin Harris,https://i.scdn.co/image/ab6761610000f178578905d5539cff25568dc097
2014,5,Katy Perry,https://i.scdn.co/image/ab6761610000f178dc9dcb7e4a97b4552e1224d6
2015,1,Drake,https://i.scdn.co/image/ab6761610000f1784293385d324db8558179afd9
2015,2,Ed Sheeran,https://i.scdn.co/image/ab6761610000f17812a2ef08d00dd7451a6dbed6
2015,3,The Weeknd,https://i.scdn.co/image/ab6761610000f178b5f9e28219c169fd4b9e8379
2015,4,Maroon 5,https://i.scdn.co/image/ab6761610000f178288ac05481cedc5bddb5b11b
2015,5,Kanye West,https://i.scdn.co/image/ab6761610000f178867008a971fae0f4d913f63a
2016,1,Drake,https://i.scdn.co/image/ab6761610000f1784293385d324db8558179afd9
2016,2,Justin Bieber,https://i.scdn.co/image/ab6761610000f1788ae7f2aaa9817a704a87ea36
2016,3,Rihanna,https://i.scdn.co/image/ab6761610000f178019d6873a01987cbe35888cd
2016,4,Twenty One Pilots,https://i.scdn.co/image/ab6761610000f178196972172c37d934d9ca8093
2016,5,Kanye West,https://i.scdn.co/image/ab6761610000f178867008a971fae0f4d913f63a
2017,1,Ed Sheeran,https://i.scdn.co/image/ab6761610000f17812a2ef08d00dd7451a6dbed6
2017,2,Drake,https://i.scdn.co/image/ab6761610000f1784293385d324db8558179afd9
2017,3,The Weeknd,https://i.scdn.co/image/ab6761610000f178b5f9e28219c169fd4b9e8379
2017,4,Kendrick Lamar,https://i.scdn.co/image/ab6761610000f178437b9e2a82505b3d93ff1022
2017,5,The Chainsmokers,https://i.scdn.co/image/ab6761610000f1783c02f4fb4cc9187c488afd50
2018,1,Drake,https://i.scdn.co/image/ab6761610000f1784293385d324db8558179afd9
2018,2,Post Malone,https://i.scdn.co/image/ab6761610000f178b894ef9fa437b0389c5567cc
2018,3,XXXTentacion,https://i.scdn.co/image/ab6761610000f178f0c20db5ef6c6fbe5135d2e4
2018,4,J Balvin,https://i.scdn.co/image/ab6761610000f1785d0fc400392250a750a9403e
2018,5,Ed Sheeran,https://i.scdn.co/image/ab6761610000f17812a2ef08d00dd7451a6dbed6
2019,1,Post Malone,https://i.scdn.co/image/ab6761610000f178b894ef9fa437b0389c5567cc
2019,2,Billie Eilish,https://i.scdn.co/image/ab6761610000f178d8b9980db67272cb4d2c3daf
2019,3,Ariana Grande,https://i.scdn.co/image/ab6761610000f178cdce7620dc940db079bf4952
2019,4,Ed Sheeran,https://i.scdn.co/image/ab6761610000f17812a2ef08d00dd7451a6dbed6
2019,5,Bad Bunny,https://i.scdn.co/image/ab6761610000f1788ee9a6f54dcbd4bc95126b14
2020,1,Bad Bunny,https://i.scdn.co/image/ab6761610000f1788ee9a6f54dcbd4bc95126b14
2020,2,Drake,https://i.scdn.co/image/ab6761610000f1784293385d324db8558179afd9
2020,3,J Balvin,https://i.scdn.co/image/ab6761610000f1785d0fc400392250a750a9403e
2020,4,Juice Wrld,https://i.scdn.co/image/ab6761610000f1781908e1a8b79abf71d5598944
2020,5,The Weeknd,https://i.scdn.co/image/ab6761610000f178b5f9e28219c169fd4b9e8379
2021,1,Bad Bunny,https://i.scdn.co/image/ab6761610000f1788ee9a6f54dcbd4bc95126b14
2021,2,Taylor Swift,https://i.scdn.co/image/ab6761610000f1789e3acf1eaf3b8846e836f441
2021,3,BTS,https://i.scdn.co/image/ab6761610000f1785704a64f34fe29ff73ab56bb
2021,4,Drake,https://i.scdn.co/image/ab6761610000f1784293385d324db8558179afd9
2021,5,Justin Bieber,https://i.scdn.co/image/ab6761610000f1788ae7f2aaa9817a704a87ea36
